location,Price,bedrooms,bathroom,floor,year_of_construction,size,ft_road,Address
Bhaktapur,550000,0,0,N/A,N/A,0-10-3-0 Aana,10 Feet ,"Nearby Kathmandu Fun Valley, Chitapol, Bhaktapur"
Lalitpur,115000,0,0,N/A,N/A,1400 Sq. Feet,0 Feet,"Sanepa, Sanepa, Lalitpur"
Lalitpur,35000000,0,0,N/A,N/A,1400 Sq. Feet,20 Feet,"Sanepa, Sanepa, Lalitpur"
Kathmandu,1900000,0,0,N/A,N/A,1-9-0-0 Aana,22 Feet,"kirtipur, Kirtipur, Kathmandu"
Kathmandu,600000,5,4,N/A,N/A,5 Ropani,0 Feet,"maharajgunj, Maharajgunj, Kathmandu"
Kathmandu,3000000,0,0,N/A,N/A,5 Aana,0 Feet,"Santinagar, Bhangal, Kathmandu"
Chitwan,180000000,0,0,N/A,N/A,3 .5 Bigha,30 Feet ,"Birendranagar, Birendranagar, Chitwan"
Kathmandu,23000000,3,3,N/A,N/A,1583 Sq. Feet,20 Feet,"panipokhari, Panipokhari, Kathmandu"
Kathmandu,80000,3,2,4,N/A,1514 Sq. Feet,0 Feet ,"Grande Tower, Tokha, Kathmandu"
Dharan,700000,0,0,N/A,N/A,13 Dhur,25 Feet ,"dharan-8, Dharan, Dharan"
Lalitpur,35000,2,2,3,2074,6 Aana,10 Feet ,"jhamsihel (near British school), Jhamsikhel, Lalitpur"
Kathmandu,290000,0,1,1,N/A,900 Sq. Feet,12 Feet ,"Patangri marg, height, Thapathali, Kathmandu"
Kathmandu,150000,3,4,3,N/A,0-5-0-0 Aana,0 Feet,"Bansbari, Basbari, Kathmandu"
Kathmandu,11000000,0,0,N/A,N/A,0-9-3-0 Aana,32 Feet,"Sano gaucharan, Sano Gaucharan, Kathmandu"
Kathmandu,55000,0,0,N/A,N/A,1 Aana,10 Feet,"Kushlechaur, Chhauni, Kathmandu"
Kathmandu,55000,0,0,N/A,N/A,1-0-0-0 Aana,12 Feet,"Gaushala, Gaushala, Kathmandu"
Kathmandu,11000000,0,0,N/A,N/A,0-10-0-0 Aana,40 Feet,"Nayabazar, Naya Bazar, Kathmandu"
Chitwan,20000,0,0,N/A,N/A,12 Aana,6 Meter ,"Bhintuna road, Bharatpur, Chitwan"
Kathmandu,20000,1,1,N/A,N/A,1111111111111 Aana,0 Feet,"Narayantar shivachowk-JORPATI, Jorpati, Kathmandu"
Lalitpur,3500000,0,0,N/A,N/A,0-4-0-0 Aana,6 Meter,"Velpa Hattiban, Hattiban, Lalitpur"
Lalitpur,16500000,3,2,5,2058,1200 Sq. Feet,40 Feet ,"Janta Awash Bhaisepati, Bhaisepati, Lalitpur"
Lalitpur,60000,4,3,N/A,N/A,4 Aana,0 Feet,"hattiban, Hattiban, Lalitpur"
Bhaktapur,70000,4,3,N/A,N/A,4 Aana,0 Feet,"sallaghari, Sallaghari, Bhaktapur"
Lalitpur,120000,5,4,N/A,N/A,10 Aana,0 Feet,"manbhawan, Kumaripati, Lalitpur"
Kathmandu,10000000,0,0,N/A,N/A,0-26-0-0 Aana,35 Feet ,"Mid Baneshwor Main Road, Mid Baneshwor, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,1 Ropani,14 Feet ,"In-between kharibot and Paiyatar, Kapan, Kathmandu"
Kathmandu,2400000,0,0,N/A,N/A,0-4-0-0 Aana,16 Feet ,"Manamaiju, Nasal Chowk, Near mansingh school, Manamaiju, Kathmandu"
Bhaktapur,2200000,0,0,N/A,N/A,0-11-1-3 Ropani,13 Feet,"Nilbarahi Bode, Bhaktapur, Bode, Bhaktapur"
Kathmandu,275000,0,0,2,N/A,1.5 Ropani,0 Feet,"House No: 496, Dhara Marg, Ward No: 4, Maharajgunj, Kathmandu"
Lalitpur,3000000,0,0,N/A,N/A,0-7-3-0 Aana,13 Feet ,"Boje Pokhari, Imadol, Lalitpur"
Kathmandu,70000,0,0,4,2076,0-6-0-0 Aana,25 Feet ,"Nearby Deurali Janata Pharmaceutical, Dhapasi, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,1 Aana,16 Feet,"Nayabazar, Naya Bazar, Kathmandu"
Kathmandu,760000,0,0,N/A,N/A,1 Aana,0 Feet,"Shankhamul, Sankhamul, Kathmandu"
Kathmandu,7000000,0,0,N/A,N/A,0-2-2-0 Aana,26 Feet,"Nayabazar, Naya Bazar, Kathmandu"
Kathmandu,2500000,0,0,N/A,N/A,0-11-2-0 Aana,14 Feet,"Taukhel, Ramkot, Kathmandu"
Kathmandu,6000000,0,0,N/A,N/A,0-8-0-0 Aana,32 Feet,"Bijeshori, Swayambhu, Kathmandu"
Kathmandu,24500000,0,3,2,2074,0-3-0-0 Aana,16 Feet ,"Samakhusi Inside Ring Road, Samakhusi, Kathmandu"
Kathmandu,2850000,0,0,N/A,N/A,1-1-0-0 Aana,13 Feet,"Budhanilkantha, Budhanilkantha, Kathmandu"
Kathmandu,2500000,0,0,N/A,N/A,0-11-2-0 Aana,14 Feet,"Taukhel, Nagarjun, Kathmandu"
Kathmandu,40000,0,0,N/A,N/A,1-8-0-0 Ropani,20 Feet ,"Bohoratar, Manamaiju, Kathmandu"
Pokhara,30000,3,2,2,2010,3 ropani Aana,14 Feet ,"Baral danda Marga, Lekhnath, Pokhara"
Kathmandu,2600000,0,0,N/A,N/A,2-0-0-0 Ropani,14 Feet,"Narayanthan, Budhanilkantha, Kathmandu"
Kathmandu,17000000,5,3,3,N/A,0-3-0-0 Aana,14 Feet,"Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu"
Pokhara,15000,2,1,N/A,N/A,8.5 Aana,13 Feet ,"Syani Patan, Sunaulo Marg, Pokhara-15, Raam Bazar, Pokhara"
